Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
PTIPEM,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MJLABD,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SMRYAM,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
JPAVET,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MKSALA,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
SBYDIP,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
CKGUTA,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
TNATHA,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
GGPTOM,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
CBIKOT,,,,,,,
BDGMAG,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
TNGHUS,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
CBICIL,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
TNABEN,,,,,,,
BKSMUT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SMRAHM,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
CPTBOU,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
KBMSAR,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
MLGSOE,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
WNGSUD,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
KWGTEL,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BYWSUT,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
GGPJAT,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
BKSPEK,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
PMLSUD,Jawa Tengah,1802.0,Jawa Tengah,JT,-7.15097500,110.14025940,province
BJMHAS,Kalimantan Selatan,1819.0,Kalimantan Selatan,KS,-3.09264150,115.28375850,province
SRGSUD,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BKLNAS,Jawa Timur,1827.0,Jawa Timur,JI,-7.53606390,112.23840170,province
CPTSET,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
TGRBIN,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
TNAPRO,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
PBUISK,Kalimantan Tengah,1794.0,Kalimantan Tengah,KT,-1.68148780,113.38235450,province
TGRSIM,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
BLKSAM,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
CPTCIR,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
